Id,title,genre,author,desc,rating,day,finish
818401,소곤소곤2,드라마,옛사람,옛사람 작가의 옴니버스 미스터리 드라마 <소곤소곤>이 돌아왔다! 세상 어딘가에 있을 기묘한 이야기.,9.96,매일 연재,Complited
758675,그 기사가 레이디로 사는 법,판타지,아인 / Ink. / 성혜림,"가장 가까운 친우이자 믿었던 부관의 검이 내 몸을 관통했다.
다시 눈을 떴을 땐 적국의 귀족 레이디가 되어있었다.
낯설고 연약한 타인의 몸과 잃어버린 3년의 세월, 그 사이에 망해버린 나의 조국.
배신의 아픔과 정체성의 혼란으로 정신을 차릴 수가 없었다.
그러나 나는 결국 살아가기로 했다. 루시펠라 아이딘으로써, 검을 든 귀족 레이디로서.",9.97,매일 연재,Complited
801992,뜨거운 홍차,로맨스,"에리카, 느리 / ZZING / 김빵","학교를 자퇴하고 생계를 위해 아르바이트를 전전하는 누리.
신세지고 있던 회장님 댁 아들이 오토바이 사고로 장기입원한다.
회장님의 분노를 염려한 사모님은 아들과 똑 닮은 누리에게 남장을 하고 학교를 대신 다녀줄 것을 제안하는데...
""아니... 사모님, 저는 여자인데요...?""",9.87,매일 연재,Complited
787729,나쁜 마법사의 꿈,판타지,이아거,"평범한 중학생 '이대아', 집에서 도망치고 싶어 아무 기숙고등학교에 원서를 넣었다. 
그런데 알고 보니 이곳은 예술 고등학교로 위장한 마법학교였고, 
전혀 상관없는 곳인 줄 알았던 이 학교에서 ‘이대아’와 얽힌 비밀이 드러나기 시작한다! 

“나는 마법사인 척 모두를 속여 이 학교에 남아야 해. 무슨 방법을 써서라도.""",9.28,매일 연재,Complited
802293,앞집나리,로맨스,민송아,"어느 날 갑자기 나의 평온한 일상을 깨뜨린 그녀. 그런데 미소녀다? 그리고 나를 조...좋아한다고? 아니, 사랑한다고....?
문제는, 나와 결혼하기 위해 앞집으로 이사 왔다는 '나리'가 싫지 않다는 것. <이두나!> 민송아 작가의 18금 두근두근 러브코미디.",9.94,매일 연재,Complited
813843,맛집,스릴러,밍규 / 드로잉창고,"만년 백수 '주인공', 동창회에서 만난 친구의 도발로 스스로를 '맛집 사장'이라 거짓말 한다. 
동창들 앞에서 망신을 당하지 않으려면 진짜 맛집 사장이 되어야 하는 인공! 
파리만 날리는 가게를 돌보며 전전긍긍하던 중, 위층에 사는 외국인 노동자에게서 미지의 조미료를 얻은 뒤 하루 아침에 손님이 미어 터지는 진짜 맛집 사장이 된다.
영원할 것 같았던 행복도 잠시, 인공은 곧 그 조미료의 충격적인 정체를 알게 되고 마는데...",9.62,매일 연재,Complited
790453,갓트,판타지,서패스 / 아거주누,"12계열의 갓트(GOD-Tribe)가 서로 싸우며 공존하는 세상.
육식계에게 학대를 받으며 일하던 환식계 꼬마 랏데는
포식자에 제물로 바쳐졌으나, 영웅 타세르에 의해 구원된다.
타세르의 말에 따르면 랏데가 바로 포식자들에 맞서 세상을 구원할
천년에 한번 태어나는 계시된 존재였고,
이후 모든 '갓트'집단의 리더가 될 운명이었다.
이제 타세르와의 수련 후, 세상을 뒤집는 복수가 시작된다.",9.86,매일 연재,Complited
792277,따개비,스릴러,뜰새 / delete / 레고밟았어,"작은 무인도, 굴덕도의 등대 관리 공무원 이어진.
평소처럼 평화롭고 지루한 등대에서 시간이나 때우던 어느 날,
친한 낚시꾼이 넘겨준 감생이에서 표피를 뚫고 나온
괴이한 따개비를 보게 된다.

그리고 그 후...",8.87,매일 연재,Complited
799165,나의 불편한 상사,로맨스,탄지 / 남은경 / 이다홍,"결혼까지 생각했던 남자친구에게 잠수이별을 당한 세라,
이직 첫날 새 직장에서 남자친구의 뒤통수를 발견하고 냅다 커피를 부었는데
알고 보니 생판 처음 보는 남자, 그리고 앞으로 매일 봐야 할 자신의 상사였다?
일생일대 최대의 위기에 봉착한 오세라의 오피스 로맨스 코미디.",9.82,매일 연재,Complited
810682,범상찮은 밤,드라마,어사화,"‘죽은 자는 말이 없다고, 누가 그래?’
때는 일제강점기,
검은 호랑이는 자신을 거두어 길러준 인간 부부를 이유도 모른 채 잃게 된다.
그때 나타난 수상한 여인, 초희. 그녀는 시신을 해부해 그 사인과 범인을 밝혀내지만…
검은 호랑이는 복수를 위해 누구의 편인지 알 수 없는 초희와 손을 잡는다.",9.97,매일 연재,Complited
