id,title,author,genre,description,rating
50422,개편 축하 릴레이 카툰,네이버웹툰작가,"에피소드, 일상",보다 재미있고 보다 다양한 웹툰의 세계 네이버 만화가 개편되었습니다네이버 웹툰 개편을 축하하기 위하여 많은 프로 작가님들이 릴레이 축하 카툰을 선보입니다,9.55
786933,갤러리L : 당신의 기억을...,조홍 / 라미아,"스토리, 로맨스",취업 면접에서 번번이 미끄러지는 순진은 자신 때문에 사고를 당해 휠체어 신세가 된 동생 나진과 엄마가 있는 고향집엔 다시 돌아가고 싶지 않다 집에 돌아가지 않으려면 알바 자리라도 구해야 한다 그러다 노랑 고양이에게 홀리듯 이끌려 다다른 Gallery L 어딘지 모르게 신비로워 보이는 카페 주인 마스터는 순진을 알바로 채용하게 되는데,9.27
670151,갸오오와 사랑꾼들,갸오오,"에피소드, 개그",차이고 퇴짜맞는 것은 일상하지만 절대 기죽지 않아갸오오와 친구들의 좌충우돌 사랑 도전기,9.94
764022,거래,우남20,"스토리, 스릴러",고등학교 동창인 준성 재효 민우는 오랜만에 만나 술자리를 가진다얼마 후 술에 취해 영 정신을 못차리는 민우를 재효의 자취방에서 재우다가 민우의 핸드폰으로 걸려 온 한 통의 전화를 받게된다 그 후 얼떨결에 민우의 납치범 행세를 하게된 재효와 준성그들은 과연 무사히 몸값을 받아낼 수 있을까,9.36
773524,거래하실래요?,99C / 백도,"스토리, 로맨스",새로운 사랑은 중고거래로 장만하세요남친과 헤어진 후 추억의 물건을 중고거래 어플 동네마켓에 팔던 한결하지만 곧 구매자가 전 남친이란 걸 알게 되고 당황하던 한결은 때마침 나타난 중고남친으로 위기를 모면하는데전 남친 강현과 새로운 인연 이안 이 삼각관계의 엔딩은 무엇일까참새는 새신부 작가들의 신작,9.88
739112,거미,모아이,"스토리, 스릴러",거미 떼로 뒤덮인 섬마을의심의 거미줄 속에서 그녀는 탈출할 수 있을까,9.9
147175,거상 김만덕,신지상 / 오은지,"스토리, 드라마","가난하고 불우한 기녀에서 조선 최고의 거상이 되기까지
순정 만화로 보는 여인 김만덕의 파란만장 삶의 일대기",9.89
700844,걸어서 30분,이온도,"스토리, 로맨스",은하학원 위성은과 지구봉의 귀갓길 로맨스 세상 가장 설레는 시간 걸어서 30분,9.97
718021,검은인간,이저녁,"스토리, 액션",너의 흉터도 너의 두 눈도 그리고 너의 힘까지 지금부터 모든 걸 바꿔줄게,9.98
801698,게임 최강 트롤러,박종석 / YATO / 군만두먹자,"스토리, 판타지",세상에서 가장 개연성 있는 게임아진 전자 실리코프 인더스트리 코퍼레이션 아르고스세계 굴지의 대기업들이 합작해 만들어 낸 인류 최초의 가상현실 게임 아르카디아환영합니다 환상의 세계 아르카디아에 오신 것을그 안에서 벌어지는 대환장스러운 이야기들지금 바로 시작합니다,9.87
787372,게임의 법칙,유티스트,"스토리, 액션",격투게임 블러드피스트의 고인물인 윤시우에게 특이점이 왔다현실에서도 게임 속 커맨더가 보이는 것게임에 지루함을 느끼던 시우는 실제 싸움에 눈을 돌리기 시작했고자신의 능력을 이용해 학교를 재패하려 했으나  설표 홍민재에게 패배하게 된다그런 그 와의 재대결을 위해 시우는 격투기 동아리 라라파루자에 가입하게 되는데,9.67
733076,겟라이프,MOOHAK,"스토리, 판타지",그 것은 소년들을 빛나게 하기도 고통스럽게 하기도 하였다축복과 혼돈의 힘 라이프 이를 둘러싼 음모와 대전쟁의 시작,9.86
727798,겟백,세윤,"에피소드, 드라마",7년 전 운명이 뒤바뀐 소녀들 태어날 때 부터 타고난 능력을 지닌 다정과 그런 천재가 부러웠던 언니 은정  그렇게 하루 하루가 지옥이었다,9.98
802835,겨울 정원의 하와르,단청 / 래럿 / 미나토,"스토리, 로맨스",왕좌 싸움에 밀려 왕국에서 먼 곳으로 정략 결혼을 하게 된 왕녀 카놀라처음 본 정혼자에게 한 눈에 반해 버렸다하지만 시집 갈 트리폴 왕국 사람들은 이방인 취급하며 그녀를 무시하고세 가지 시험을 통과하기 전까진 결혼할 수 없다고 통보한다 심지어 정혼자까지 그녀에게 쌀쌀 맞기만 한데여기서 물러설 수 없다 이미 손자 손녀 이름까지 지어 놨다그깟 시험 따위 빨리 해치워 버리겠어,9.95
113121,겨울동화,심윤수,"에피소드, 감성","일편단심화 심윤수 작가의 겨울 이야기
올 겨울을 따뜻하게 채워 줄 에피소드 12편어른을 위한 동화가 시작됩니다",9.89
802117,겨울특강,곤세,"스토리, 판타지",가난하다는 이유로 힘을 숨기고 일진들의 괴롭힘을 참아내는 고등학생 한길은아르바이트를 하고 집으로 돌아가던 길에 도깨비 방망이를 쓰는 사람들을 보게 된다그들로부터 도깨비 방망이를 훔치는데 성공한 한길은 이제 돈 걱정 없이 살 수 있을 줄 알았지만인간의 탈을 쓴 괴물들 야인과 야인들을 사냥하는 조직 꾼들의 세계에 엮이게 된다가진 거라곤 힘밖에 없던 소년 한길은 또다른 인생의 챕터에 들어서게 되는데,9.77
701535,격기3반,이학,"스토리, 스포츠",한국이 세계 격투기의 중심이 된 세상 전국 탑 클래스 격투기 학생들만 모인 남일고에 약골 소년 주지태가 돌연 투입된다신체적 약점이 상쇄되는 무술 주짓수를 통해 주지태는 격기반의 정점에 오를 수 있을 것인가,9.47
395442,격투기특성화사립고교 극지고,허일,"스토리, 액션",최고로 강한 학생이 전교 1등이다극한지옥 격투기 특성화 사립 고등학교 극지고 격투 능력자들의 절륜한 한판,9.78
740034,견우와 선녀,안수민,"스토리, 드라마",죽음이 가까워진 사람들은 거꾸로 걸어들어 온다그리고 그게 하필 내 이상형이라니,9.98
233265,견우와 직녀,유리아,"스토리, 로맨스",설화 견우와 직녀 판타지로 다시 태어나다,9.95
746744,견원지간 로맨스,최현옥 / 고방,"에피소드, 일상",동물적인 색다른 사랑법,9.66
668101,결계녀,김태경,"스토리, 로맨스",결계가 된 소녀 소년을 지키다 본격 미소녀 군단과 함께하는 셔틀남 탈출기,9.87
744375,결백한 사람은 없다,서각,"스토리, 드라마",15년 전 실종된 아이가 돌아왔다초능력을 가진 순경의 아동실종 심리 수사극,9.85
792317,결혼공략,율무,"스토리, 로맨스",낡고 지친 k직장인 주인공 하루하루는 자신만이 가지고 있는 능력을 활용해 욜로처럼 펑펑 쓰고 시간을 되돌리는 삶을 살아가고 있는데난데없이 나타나 총을 겨눈 의문의 남자로 인해 모든 것이 처음으로 돌아간다어떻게 여기까지 왔는데 다시 새내기로 돌아가다니게다가 이 모든 것을 끝내려면 정해진 결혼 상대를 찾아야만 한다두 플레이어의 우당탕탕 생존 결혼 공략,9.95
761599,결혼까지 망상했어!,문주,"스토리, 로맨스",내게는 짝남도 강제 남사친일 뿐 10대 안에 한 번이라도 연애를 해보는 게 소원이지만 호감 상대와 결혼까지 망상하면 절대 성사되지 않는다는 징크스를 지닌 소망 연애의 연자도 허용되지 않던 그녀의 현실에도 볕 들 날이 오긴 하는데 이게 과연 썸이 맞긴 할까 망상 소녀 소망의 유쾌 발랄 로맨스,9.91
741891,결혼생활 그림일기,은꼼지,"옴니버스, 일상",고르고 골라 결혼했더니 매일매일 우당탕탕결혼생활이란 무엇인가조용할 날 없는 결혼생활을 날 것 그대로 그렸다모자르고 부족했던 두 짐승이 만나 그려가는 결혼생활 그림일기,9.96
744384,경비 배두만,이영곤,"스토리, 액션",지난 인생이 후회스러운 건달 출신의 60대 아파트 경비원 두만과 남은 인생이 막막한 20대 흥신소 직원 새봄거대한 범죄 세력에 맞서기 위해 힘을 합쳤다,9.95
792780,경비실에서 안내방송 드립니다,수하 / 벌크업,"스토리, 스릴러",인적이 드문 산속 아파트에 이사 온 백성한어느 날 갑자기 옆집 이웃이 돌변해 아파트를 폐쇄하고 사람들을 죽이기 시작한다 백성한과 아파트 주민들은 경비실을 장악한 살인마의 주도 아래 목숨을 건 데스게임에 참여하게 되고 사람들의 살아남기 위한 몸부림이 시작된다,9.26
524353,경운기를 탄 왕자님,무적핑크,"스토리, 개그",실질객관동화 무적핑크 작가의 신작싹수 노란 남자의 농사 정복기 오빤 강남 농부 스타일,9.9
769658,경자 전성시대,김호드,"스토리, 개그",연애의 정령 김호드 작가 신작 남들보다 강한 그녀 육경자가 돌아왔다연인과 헤어지고 취업도 번번이 실패하며 힘든 하루를 보내던 경자는 더 쉴드라는 대기업으로부터 스카우트 제안을 받게 된다학벌도 빽도 없는 경자는 의아해하지만 따뜻하고 안락한 실내 사무직을 꿈꾸며 면접을 보러 가는데회사도 직원들도 면접자들도 모두 심상치 않다,9.89
693431,계룡선녀전,돌배,"스토리, 드라마",고려 조선시대를 거쳐 바리스타가 된 계룡산 선녀님女 699세환생한 서방님과 날개옷을 찾을 수 있을까,9.98
132459,고(故)길창덕화백 추모웹툰,웹툰작가,"옴니버스, 일상",대한민국 1세대 만화가이자 꺼벙이순악질여사재동이등 한국 명랑만화의 효시가 되신 故길창덕 선생님우리에게 만화의 즐거움을 선물해 주신 선생님께 네이버 웹툰 작가들이 추모 웹툰을 올립니다,9.76
69113,고(故)노무현 前대통령 추...,웹툰작가,"옴니버스, 일상",마음 깊이 애도합니다 소박했던 그 웃음오래도록 기억하겠습니다추모 웹툰은 네이버 다음 야후 네이트 파란 카툰부머 웹툰 작가님들이 함께 합니다,9.38
655277,고고고,정은경 / 하일권,"스토리, 판타지","치매 걸린 할아버지 게임 폐인 아빠와 살고 있는 고민
원효대사가 남긴 해골물을 찾아달라는 의뢰를 받고
삼부자가 떠나게 되는데",9.97
89097,고고루키루,한경찰,"옴니버스, 드라마","정체불명의 3인조 천진난만 켄 카리스마 선녀 쉬크노노
루키루가 만들어내는 황당무계하지만 따뜻한 이야기들 지금부터 루키루와 함께 고고",9.96
708453,고교생을 환불해 주세요,Croissant,"스토리, 드라마",저승로맨스판타지 학원물이 온다,9.98
801950,고교흥신소,김성모,"스토리, 드라마",뭐 하나 빠지는 것 없는 고등학생 한유진 학교에서는 조용하게 지내는 학생이지만밖에서는 흥신소를 운영하는 사장으로써 친구들과 함께 뒷세계의 일들을 해결해 나간다,8.87
786622,고등단편.zip,웹툰작가,"옴니버스, 드라마",고등학생 작가님들의 단편을 모았다짧고 강렬하고 새로운 어디에서도 볼 수 없었던10대들의 이야기를 만나보세요,9.82
773085,고등매직,잭형,"에피소드, 개그",평범한 고등학생인 마삼룡의 집에 갑자기 삼촌이 찾아온다삼룡의 가족과 함께 지내게 된 삼촌은 어느날 엄청난 비밀을 폭로하게 되는데그것은 바로 삼룡의 가족이 마법사 집안이었다는 것마법과 함께 펼쳐지는 삼룡과 삼촌의 코믹 에피소드,9.8
729767,고래별,나윤희,"스토리, 로맨스",1926년 일제 식민 지배 하의 조선 17세 소녀 수아는 군산 일대 친일파 대지주의 집에서 몸종으로 일하고 있다 어느 날 수아는 부상을 입은 채 해변가에 쓰러져 있는 독립운동가 의현을 발견하고 그를 보호하게 되는데,9.98
783524,고백 취소도 되나?,신매,"스토리, 로맨스",설레는 마음으로 고백할 준비를 하던 반하얀그런데 고백이 양아치 같은 설박하에게 잘못 전해졌다그런 사실을 들키지 않기 위해 필사적으로 노력하는 하얀과 그런 그녀 머리 위에서 즐기는 박하과연 하얀은 그에게서 벗어나 다시 제대로 고백할 수 있을까나의 첫번째 새벽 신매 작가의 풋풋 하이틴 로맨스 신작,9.94
728126,고삼무쌍,B급달궁 / 하마,"스토리, 액션",오로지 인생엔 운동과 공부뿐인 장삼봉어느 날 갑자기 돌아가신 할머니가 전설의 무림 정파 당주손주에게 남긴 비급을 찾기 위해 학교를 찾아오는 무림 고수들과연 그는 꿈꾸는 대학에 진학할 수 있을 것인가천 년간 사라진 무림이 현대 고등학교를 배경으로 되살아난다무림인들의 고교습격 장르파괴 무협학원액션,9.82
400737,고삼이 집나갔다,미티,"스토리, 드라마",집은 나갔지만 막나가진 않았습니다대책없이 커져만가는 거짓말과 오해 숨막히는 추격전수능을 앞둔 고3 수험생들의 REAL 가출기,9.74
662774,고수,류기운 / 문정후,"스토리, 판타지",용비불패 최강의 콤비가 무협의 전설을 다시 쓰다 천하제일의 고수 강룡 그리고 수많은 다른 고수들의 이야기,9.97
317365,고시생툰,seri,"스토리, 일상","대학입학 그로부터 몇 년 
공부하는 우리들의 빛나는 청춘",9.92
800775,고양이 키스,건짱 / 망둥어 / 김애정,"스토리, 로맨스",다정한 주인과 위험한 수의사의 구애 속에 자신도 몰랐던 애완 고양이로서의 적성을 깨달아 가는 나날들실전 고양이로 살아가기 그리고 고양이로 연애하기,9.91
716776,고인의 명복,조주희 / 유노,"스토리, 드라마",이승과 저승 삶과 죽음을 둘러싼한국형 미스터리 판타지,9.98
26115,고향의꽃,한(恨),"스토리, 스릴러",그곳의 비밀과 배신 그리고 음모7년 만에 찾은 고향에서 벌어지는 한 남자의 처절한 사투상처와 고통으로 얼룩진 지옥의 섬으로 찾아가다,9.86
685460,골든 체인지,브림스,"스토리, 판타지",세상에서 가장 불운한 소녀 강유와 소녀의 불운을 막아주는 수상한 산신령 우암이 펼치는 판타지세계,9.98
15441,골방환상곡,워니 / 심윤수,"에피소드, 일상","공감 100 에 도전한다 절대 센스 Wony와 함께하는 골방 환상곡 네이버 전격 오픈
늑대 워니와 그의 친구 곰이 보여주는 리얼 공감 스토리",9.92
