title,genre,description,rating,writer,illustrator,original_creator
감 비서가 고장났다,로맨스,언제나와 같은 야근길 붕어빵 사고 남은 돈으로 지른 로또에 무려 1등으로 당첨된 유은워라밸 없기로 악명높은 사장 도혁의 비서 일부터 당장 때려치우려 했지만 제가 요즘 감 비서 생각으로 머릿속이 가득 차 있거든요사장님이 고장났 아니 밑도 끝도 없이 말랑말랑해졌다이제 와서 사람 흉내내도 소용없다며 밀어내려해도 미남계를 곁들인 콤보 공격에 점점 흔들리는 유은 그녀는 알까 도혁도 똑같은 생각을 하고 있다는 것을감 비서가 고장났다 반드시 원래대로 고쳐놓고 말겠어,9.92,퀀퀀 , 파란드,퀀퀀 
감염자,스릴러,사람을 잡아먹는 괴물 감염자나는 괴물이 되었다,9.95,이강,이강,이강
감자마을,개그,감자 청년이 펼치는 격정막장 작물드라마감자마을에 살고 있는 주인공 한감자는 꿈을 이루기 위해 감자마을을 떠난다하지만 감자마을 밖은 고난과 역경 그 자체마을을 떠나자마자 예상치 못한 살인 사건에 휘말리며 위험에 처하게 된다과연 한감자는 무사히 살아남아 다시 감자마을로 돌아갈 수 있을 것인가,9.94,박지독,박지독,박지독
감히,스릴러,진실을 향한 입과 귀를 틀어막고 짓누르는 그들 이제 죽음에서 자유로워진 그녀의 복수가 시작된다,9.91,희나리,희나리,희나리
갑자기 커피,개그,스무살 첫 커피 그리고 첫 사기세계 최고의 바리스타였던 지오반니와 조금은 특이한 직원들과 함께하는20살 동우의 본격 카페 알바 이야기,9.78,우 , 리지,우 
갓 오브 하이스쿨,판타지,전국 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다허구 100 막장 액션의 끝 기대하시라,9.64,박용제,박용제,박용제
갓!김치,개그,1000 신토불이 히어로 등장,7.42,김민우,김민우,김민우
갓도령스,드라마,갓을 쓴 네명의 꽃도령그들과 함께 드랍 더 비트,9.96,도로롱,도로롱,도로롱
갓물주,드라마,과거로 갈 수 있는 건물을 얻게 된 평범한 청년 송강기시간 이동으로 내가 얻은 이득만큼 누군가는 피해를 보게 되는 파이 싸움의 현실강기는 과연 어떤 선택을 해 나갈 것인가,9.9,HD3,HD3,HD3
갓트,판타지,12계열의 갓트GODTribe가 서로 싸우며 공존하는 세상육식계에게 학대를 받으며 일하던 환식계 꼬마 랏데는포식자에 제물로 바쳐졌으나 영웅 타세르에 의해 구원된다타세르의 말에 따르면 랏데가 바로 포식자들에 맞서 세상을 구원할천년에 한번 태어나는 계시된 존재였고이후 모든 갓트집단의 리더가 될 운명이었다이제 타세르와의 수련 후 세상을 뒤집는 복수가 시작된다,9.91,서패스 , 아거주누,서패스 
갓핑크,판타지,흥분하면 거대해지는 그놈박성기를 함부로 자극하지 마라생체병기 핑크맨의 신체 부위를 나눠가진 초능력자들이 펼치는 박진감 넘치는 액션,9.93,이상신 , 국중록,이상신 
강남도깨비,판타지,전세계 44명 황금의 피를 가진 전교1등을 노리는 도깨비가 나타났다지상 최대 공모전 최우수상 수상작,9.78,이경민 , 송준혁,이경민 
강남의 기사,판타지,화려한 현대 도시 강남에 원인 모를 재난이 닥친다 온갖 괴물들과 악마에게 영혼을 판 듯한 마법사들이 하늘과 땅 그리고 바다에서 동시에 나타난다 현대의 무기나 과학으로 도저히 대적할 수 없는 차원이 다른 적에게 강남은 지옥으로 변모한다,9.43,B급달궁 , 김재환,B급달궁 
강림전기 개정기,액션,얼굴 학력 성품 모든 것이 완벽한 전교 1등 우등생 하린그런 그의 옆자리를 차지한 괴상한 전학생이 오늘부터 하린을 죽이겠다는데무협 소설 강림전기에서 튀어나온 악마 최강림과의 파란만장 학교생활 판타지,9.91,철무장미 , 장군,철무장미 
강변살다,로맨스,이강변이라는 이름의 그녀가 펼쳐가는 20대 청춘 로맨스,9.86,박윤영,박윤영,박윤영
강시대소동,스릴러,강시대소동 야영지에 강시가 나타났다 찌질한 우리라도 막아야 한다,9.74,주동근,주동근,주동근
같은 학교 친구,로맨스,항상 바른 자세를 하는 같은 반 친구 겨울이요한이는 그런 겨울이가 왠지 신경 쓰인다 그때 마침 짝이 된 두 사람 가까워진 자리만큼 마음의 거리가 좁혀져 간다두근대는 심장 소리피어오르는 얼굴의 이 열기를 뭐라고 부르면 좋은 걸까어쩔 줄 모르는 소년소녀의 첫사랑 이야기,9.97,유유,유유,유유
같은도장,로맨스,게임 친구였던 귀여운 연하남과같은 검도장에서 만나버렸다,9.98,이힝,이힝,이힝
개를 낳았다,드라마,사랑스러운 너와의 첫 만남부터 이별까지 처음으로 반려견을 키우게 된 다나와 모든것이 처음인 강아지 명동이가 만나 함께 살아가는 이야기 강아지 수명 20년 너와 내가 함께하는 20년 동안 우린 어떤 일을 겪게 될까,9.94,이선,이선,이선
개미,스릴러,우리의 발 밑에 그들이 살고있다,9.8,재희,재희,재희
개미잡이,드라마,겉과 속이 다른 삶을 살아온 악랄한 인간 고은식 그런 악마와 함께 살고 있는 세진에게 뜻밖의 기회가 찾아온다이들의 비밀스러운 삶을 집요하게 파고드는 형사와 고은식으로부터 어린 시절 온갖 학대를 받으며 살아온 의문의 남자가 복수를 위해 나타난다,9.83,이익수,이익수,이익수
개밥 먹는 남자,판타지,출근길에 우연히 받은 아임펫 향수를 뿌렸다가 댕댕이 뚜치와 몸이 바뀌어버린 어도남그런데 뚜치가 회사에 출근하더니 투자 계약을 따내고 임원 승진에 짝사랑하는 여직원과 썸을 타기 시작한다뜻밖의 상황에 엮인 어도남은 오늘도 집에 틀어박혀 개밥을 먹는다주인과 반려동물의 몸을 뒤바꾸는 아임펫 향수 때문에 벌어지는 아이러니 코미디 대박 맞겠지2020 지상최대공모전 1기 장려상 수상작,9.93,김태순,김태순,김태순
개와 사람의 시간,드라마,나영의 행복을 위해서라면 무엇이든 할 수 있는 사랑스러운 반려견 우비 그런 우비와 나영의 시간에 불현듯 개를 무서워하는 낯선 남자 영민이 들어오고 나영과 영민의 관계가 가까워질수록 우비와 그녀의 사이는 멀어져 간다 나영의 사랑을 독차지할 수 없게 된 우비 결국 스스로의 한계를 느끼고 그녀의 곁을 떠나 자신을 위한 삶을 살기로 결심하게 되는데,9.77,무브,무브,무브
개인정보 제공에 동의하십니...,스릴러,어느 날 문득 인생의 작은 인연 하나를 떠올리게 된 현수그 사람의 안부가 궁금해 난생처음 sns에 가입하게 되고 연락하기에 이른다그리고 만남까지그 인연과의 짧은 만남 이후 현수에겐 이상한 일들이 벌어지기 시작한다자신의 개인 정보를 알아야만 가능한 테러들 연이어 발생하면서평범했던 현수의 일상은 점점 무너져 가는데과연 현수는 범인을 잡고 자신의 일상을 되찾을 수 있을까,9.58,신대성,신대성,신대성
개장수,판타지,역대급 판타지스릴러 하이브의 프리퀄 곤충에게 지배당한 세상 그 시작과 끝에 개장수가 있다,9.97,김규삼,김규삼,김규삼
개판,액션,스스로를 정의라 부르는 조직 아마란스 버려진 투견 바울이 겪는 그들의 이야기,9.88,현욱,현욱,현욱
개편 축하 릴레이 카툰,일상,보다 재미있고 보다 다양한 웹툰의 세계 네이버 만화가 개편되었습니다네이버 웹툰 개편을 축하하기 위하여 많은 프로 작가님들이 릴레이 축하 카툰을 선보입니다,9.55,네이버웹툰작가,네이버웹툰작가,네이버웹툰작가
갤러리L : 당신의 기억을...,로맨스,취업 면접에서 번번이 미끄러지는 순진은 자신 때문에 사고를 당해 휠체어 신세가 된 동생 나진과 엄마가 있는 고향집엔 다시 돌아가고 싶지 않다 집에 돌아가지 않으려면 알바 자리라도 구해야 한다 그러다 노랑 고양이에게 홀리듯 이끌려 다다른 Gallery L 어딘지 모르게 신비로워 보이는 카페 주인 마스터는 순진을 알바로 채용하게 되는데,9.27,조홍 , 라미아,조홍 
갸오오와 사랑꾼들,개그,차이고 퇴짜맞는 것은 일상하지만 절대 기죽지 않아갸오오와 친구들의 좌충우돌 사랑 도전기,9.94,갸오오,갸오오,갸오오
거래,스릴러,고등학교 동창인 준성 재효 민우는 오랜만에 만나 술자리를 가진다얼마 후 술에 취해 영 정신을 못차리는 민우를 재효의 자취방에서 재우다가 민우의 핸드폰으로 걸려 온 한 통의 전화를 받게된다 그 후 얼떨결에 민우의 납치범 행세를 하게된 재효와 준성그들은 과연 무사히 몸값을 받아낼 수 있을까,9.36,우남20,우남20,우남20
거래하실래요?,로맨스,새로운 사랑은 중고거래로 장만하세요남친과 헤어진 후 추억의 물건을 중고거래 어플 동네마켓에 팔던 한결하지만 곧 구매자가 전 남친이란 걸 알게 되고 당황하던 한결은 때마침 나타난 중고남친으로 위기를 모면하는데전 남친 강현과 새로운 인연 이안 이 삼각관계의 엔딩은 무엇일까참새는 새신부 작가들의 신작,9.88,99C , 백도,99C 
거미,스릴러,거미 떼로 뒤덮인 섬마을의심의 거미줄 속에서 그녀는 탈출할 수 있을까,9.9,모아이,모아이,모아이
거상 김만덕,드라마,가난하고 불우한 기녀에서 조선 최고의 거상이 되기까지순정 만화로 보는 여인 김만덕의 파란만장 삶의 일대기,9.89,신지상 , 오은지,신지상 
걸어서 30분,로맨스,은하학원 위성은과 지구봉의 귀갓길 로맨스 세상 가장 설레는 시간 걸어서 30분,9.97,이온도,이온도,이온도
검은인간,액션,너의 흉터도 너의 두 눈도 그리고 너의 힘까지 지금부터 모든 걸 바꿔줄게,9.98,이저녁,이저녁,이저녁
게임 최강 트롤러,판타지,세상에서 가장 개연성 있는 게임아진 전자 실리코프 인더스트리 코퍼레이션 아르고스세계 굴지의 대기업들이 합작해 만들어 낸 인류 최초의 가상현실 게임 아르카디아환영합니다 환상의 세계 아르카디아에 오신 것을그 안에서 벌어지는 대환장스러운 이야기들지금 바로 시작합니다,9.87,박종석 , YATO , 군만두먹자
게임의 법칙,액션,격투게임 블러드피스트의 고인물인 윤시우에게 특이점이 왔다현실에서도 게임 속 커맨더가 보이는 것게임에 지루함을 느끼던 시우는 실제 싸움에 눈을 돌리기 시작했고자신의 능력을 이용해 학교를 재패하려 했으나  설표 홍민재에게 패배하게 된다그런 그 와의 재대결을 위해 시우는 격투기 동아리 라라파루자에 가입하게 되는데,9.67,유티스트,유티스트,유티스트
겟라이프,판타지,그 것은 소년들을 빛나게 하기도 고통스럽게 하기도 하였다축복과 혼돈의 힘 라이프 이를 둘러싼 음모와 대전쟁의 시작,9.86,MOOHAK,MOOHAK,MOOHAK
겟백,드라마,7년 전 운명이 뒤바뀐 소녀들 태어날 때 부터 타고난 능력을 지닌 다정과 그런 천재가 부러웠던 언니 은정  그렇게 하루 하루가 지옥이었다,9.98,세윤,세윤,세윤
겨울 정원의 하와르,로맨스,왕좌 싸움에 밀려 왕국에서 먼 곳으로 정략 결혼을 하게 된 왕녀 카놀라처음 본 정혼자에게 한 눈에 반해 버렸다하지만 시집 갈 트리폴 왕국 사람들은 이방인 취급하며 그녀를 무시하고세 가지 시험을 통과하기 전까진 결혼할 수 없다고 통보한다 심지어 정혼자까지 그녀에게 쌀쌀 맞기만 한데여기서 물러설 수 없다 이미 손자 손녀 이름까지 지어 놨다그깟 시험 따위 빨리 해치워 버리겠어,9.95,단청 , 래럿 , 미나토
겨울동화,감성,일편단심화 심윤수 작가의 겨울 이야기올 겨울을 따뜻하게 채워 줄 에피소드 12편어른을 위한 동화가 시작됩니다,9.89,심윤수,심윤수,심윤수
겨울특강,판타지,가난하다는 이유로 힘을 숨기고 일진들의 괴롭힘을 참아내는 고등학생 한길은아르바이트를 하고 집으로 돌아가던 길에 도깨비 방망이를 쓰는 사람들을 보게 된다그들로부터 도깨비 방망이를 훔치는데 성공한 한길은 이제 돈 걱정 없이 살 수 있을 줄 알았지만인간의 탈을 쓴 괴물들 야인과 야인들을 사냥하는 조직 꾼들의 세계에 엮이게 된다가진 거라곤 힘밖에 없던 소년 한길은 또다른 인생의 챕터에 들어서게 되는데,9.77,곤세,곤세,곤세
격기3반,스포츠,한국이 세계 격투기의 중심이 된 세상 전국 탑 클래스 격투기 학생들만 모인 남일고에 약골 소년 주지태가 돌연 투입된다신체적 약점이 상쇄되는 무술 주짓수를 통해 주지태는 격기반의 정점에 오를 수 있을 것인가,9.47,이학,이학,이학
격투기특성화사립고교 극지고,액션,최고로 강한 학생이 전교 1등이다극한지옥 격투기 특성화 사립 고등학교 극지고 격투 능력자들의 절륜한 한판,9.78,허일,허일,허일
견우와 선녀,드라마,죽음이 가까워진 사람들은 거꾸로 걸어들어 온다그리고 그게 하필 내 이상형이라니,9.98,안수민,안수민,안수민
견우와 직녀,로맨스,설화 견우와 직녀 판타지로 다시 태어나다,9.95,유리아,유리아,유리아
견원지간 로맨스,일상,동물적인 색다른 사랑법,9.66,최현옥 , 고방,최현옥 
결계녀,로맨스,결계가 된 소녀 소년을 지키다 본격 미소녀 군단과 함께하는 셔틀남 탈출기,9.87,김태경,김태경,김태경
결백한 사람은 없다,드라마,15년 전 실종된 아이가 돌아왔다초능력을 가진 순경의 아동실종 심리 수사극,9.85,서각,서각,서각
결혼공략,로맨스,낡고 지친 k직장인 주인공 하루하루는 자신만이 가지고 있는 능력을 활용해 욜로처럼 펑펑 쓰고 시간을 되돌리는 삶을 살아가고 있는데난데없이 나타나 총을 겨눈 의문의 남자로 인해 모든 것이 처음으로 돌아간다어떻게 여기까지 왔는데 다시 새내기로 돌아가다니게다가 이 모든 것을 끝내려면 정해진 결혼 상대를 찾아야만 한다두 플레이어의 우당탕탕 생존 결혼 공략,9.95,율무,율무,율무
결혼까지 망상했어!,로맨스,내게는 짝남도 강제 남사친일 뿐 10대 안에 한 번이라도 연애를 해보는 게 소원이지만 호감 상대와 결혼까지 망상하면 절대 성사되지 않는다는 징크스를 지닌 소망 연애의 연자도 허용되지 않던 그녀의 현실에도 볕 들 날이 오긴 하는데 이게 과연 썸이 맞긴 할까 망상 소녀 소망의 유쾌 발랄 로맨스,9.91,문주,문주,문주
결혼생활 그림일기,일상,고르고 골라 결혼했더니 매일매일 우당탕탕결혼생활이란 무엇인가조용할 날 없는 결혼생활을 날 것 그대로 그렸다모자르고 부족했던 두 짐승이 만나 그려가는 결혼생활 그림일기,9.96,은꼼지,은꼼지,은꼼지
경비 배두만,액션,지난 인생이 후회스러운 건달 출신의 60대 아파트 경비원 두만과 남은 인생이 막막한 20대 흥신소 직원 새봄거대한 범죄 세력에 맞서기 위해 힘을 합쳤다,9.95,이영곤,이영곤,이영곤
경비실에서 안내방송 드립니다,스릴러,인적이 드문 산속 아파트에 이사 온 백성한어느 날 갑자기 옆집 이웃이 돌변해 아파트를 폐쇄하고 사람들을 죽이기 시작한다 백성한과 아파트 주민들은 경비실을 장악한 살인마의 주도 아래 목숨을 건 데스게임에 참여하게 되고 사람들의 살아남기 위한 몸부림이 시작된다,9.26,수하 , 벌크업,수하 
경운기를 탄 왕자님,개그,실질객관동화 무적핑크 작가의 신작싹수 노란 남자의 농사 정복기 오빤 강남 농부 스타일,9.9,무적핑크,무적핑크,무적핑크
경자 전성시대,개그,연애의 정령 김호드 작가 신작 남들보다 강한 그녀 육경자가 돌아왔다연인과 헤어지고 취업도 번번이 실패하며 힘든 하루를 보내던 경자는 더 쉴드라는 대기업으로부터 스카우트 제안을 받게 된다학벌도 빽도 없는 경자는 의아해하지만 따뜻하고 안락한 실내 사무직을 꿈꾸며 면접을 보러 가는데회사도 직원들도 면접자들도 모두 심상치 않다,9.89,김호드,김호드,김호드
계룡선녀전,드라마,고려 조선시대를 거쳐 바리스타가 된 계룡산 선녀님女 699세환생한 서방님과 날개옷을 찾을 수 있을까,9.98,돌배,돌배,돌배
고(故)길창덕화백 추모웹툰,일상,대한민국 1세대 만화가이자 꺼벙이순악질여사재동이등 한국 명랑만화의 효시가 되신 故길창덕 선생님우리에게 만화의 즐거움을 선물해 주신 선생님께 네이버 웹툰 작가들이 추모 웹툰을 올립니다,9.76,웹툰작가,웹툰작가,웹툰작가
고(故)노무현 前대통령 추...,일상,마음 깊이 애도합니다 소박했던 그 웃음오래도록 기억하겠습니다추모 웹툰은 네이버 다음 야후 네이트 파란 카툰부머 웹툰 작가님들이 함께 합니다,9.38,웹툰작가,웹툰작가,웹툰작가
고고고,판타지,치매 걸린 할아버지 게임 폐인 아빠와 살고 있는 고민원효대사가 남긴 해골물을 찾아달라는 의뢰를 받고삼부자가 떠나게 되는데,9.97,정은경 , 하일권,정은경 
고고루키루,드라마,정체불명의 3인조 천진난만 켄 카리스마 선녀 쉬크노노루키루가 만들어내는 황당무계하지만 따뜻한 이야기들 지금부터 루키루와 함께 고고,9.96,한경찰,한경찰,한경찰
고교생을 환불해 주세요,드라마,저승로맨스판타지 학원물이 온다,9.98,Croissant,Croissant,Croissant
고교흥신소,드라마,뭐 하나 빠지는 것 없는 고등학생 한유진 학교에서는 조용하게 지내는 학생이지만밖에서는 흥신소를 운영하는 사장으로써 친구들과 함께 뒷세계의 일들을 해결해 나간다,8.87,김성모,김성모,김성모
고등단편.zip,드라마,고등학생 작가님들의 단편을 모았다짧고 강렬하고 새로운 어디에서도 볼 수 없었던10대들의 이야기를 만나보세요,9.82,웹툰작가,웹툰작가,웹툰작가
고등매직,개그,평범한 고등학생인 마삼룡의 집에 갑자기 삼촌이 찾아온다삼룡의 가족과 함께 지내게 된 삼촌은 어느날 엄청난 비밀을 폭로하게 되는데그것은 바로 삼룡의 가족이 마법사 집안이었다는 것마법과 함께 펼쳐지는 삼룡과 삼촌의 코믹 에피소드,9.8,잭형,잭형,잭형
고래별,로맨스,1926년 일제 식민 지배 하의 조선 17세 소녀 수아는 군산 일대 친일파 대지주의 집에서 몸종으로 일하고 있다 어느 날 수아는 부상을 입은 채 해변가에 쓰러져 있는 독립운동가 의현을 발견하고 그를 보호하게 되는데,9.98,나윤희,나윤희,나윤희
고백 취소도 되나?,로맨스,설레는 마음으로 고백할 준비를 하던 반하얀그런데 고백이 양아치 같은 설박하에게 잘못 전해졌다그런 사실을 들키지 않기 위해 필사적으로 노력하는 하얀과 그런 그녀 머리 위에서 즐기는 박하과연 하얀은 그에게서 벗어나 다시 제대로 고백할 수 있을까나의 첫번째 새벽 신매 작가의 풋풋 하이틴 로맨스 신작,9.94,신매,신매,신매
고삼무쌍,액션,오로지 인생엔 운동과 공부뿐인 장삼봉어느 날 갑자기 돌아가신 할머니가 전설의 무림 정파 당주손주에게 남긴 비급을 찾기 위해 학교를 찾아오는 무림 고수들과연 그는 꿈꾸는 대학에 진학할 수 있을 것인가천 년간 사라진 무림이 현대 고등학교를 배경으로 되살아난다무림인들의 고교습격 장르파괴 무협학원액션,9.82,B급달궁 , 하마,B급달궁 
고삼이 집나갔다,드라마,집은 나갔지만 막나가진 않았습니다대책없이 커져만가는 거짓말과 오해 숨막히는 추격전수능을 앞둔 고3 수험생들의 REAL 가출기,9.74,미티,미티,미티
고수,판타지,용비불패 최강의 콤비가 무협의 전설을 다시 쓰다 천하제일의 고수 강룡 그리고 수많은 다른 고수들의 이야기,9.97,류기운 , 문정후,류기운 
고시생툰,일상,대학입학 그로부터 몇 년 공부하는 우리들의 빛나는 청춘,9.92,seri,seri,seri
고양이 키스,로맨스,다정한 주인과 위험한 수의사의 구애 속에 자신도 몰랐던 애완 고양이로서의 적성을 깨달아 가는 나날들실전 고양이로 살아가기 그리고 고양이로 연애하기,9.91,건짱 , 망둥어 , 김애정
고인의 명복,드라마,이승과 저승 삶과 죽음을 둘러싼한국형 미스터리 판타지,9.98,조주희 , 유노,조주희 
고향의꽃,스릴러,그곳의 비밀과 배신 그리고 음모7년 만에 찾은 고향에서 벌어지는 한 남자의 처절한 사투상처와 고통으로 얼룩진 지옥의 섬으로 찾아가다,9.86,한(恨),한(恨),한(恨)
골든 체인지,판타지,세상에서 가장 불운한 소녀 강유와 소녀의 불운을 막아주는 수상한 산신령 우암이 펼치는 판타지세계,9.98,브림스,브림스,브림스
골방환상곡,일상,공감 100 에 도전한다 절대 센스 Wony와 함께하는 골방 환상곡 네이버 전격 오픈늑대 워니와 그의 친구 곰이 보여주는 리얼 공감 스토리,9.92,워니 , 심윤수,워니 
"곱게 키웠더니, 짐승",로맨스,반쪽짜리 황녀 블론디나 외로운 그녀의 유일한 친구는 귀여운 고양이가 아니라 만인이 두려워하는 흑표범 신수 에이몬자신과 닮아 외로워 보이는 신수님을 치료해주고 간식 주고 곱게 키워줬더니그렇게 도망가면 사냥하고 싶어져 오히려 곱게 잡아먹히게 생겼다,9.96,티바 , 여슬기 , 이른꽃
공감.jpg,개그,이거 나만 그런거 아니지응 너만 그런거 아니야 반박불가 공감이 밀려온다,4.45,임총,임총,임총
공대생 너무만화,개그,평범한 문과생 공대생이 되다최삡뺩 작가의 신작,9.97,최삡뺩,최삡뺩,최삡뺩
공방의 마녀,로맨스,저주를 받은 자 저주를 건 자 저주를 수호하는 자괴상한 저주를 둘러싼 세 가문의 이야기영국 공작가의 아들과 마녀의 후손 그리고 저주를 수호하는 자의 후손이 벌이는 삼각관계,9.82,박소희,박소희,박소희
공복의 저녁식사,드라마,세상에는 왜 이렇게 맛있는 게 많을까만두와의 저녁식사를 통한 식탐소녀 복희의 좌충우돌 성장기,9.75,김계란,김계란,김계란
공부하기 좋은 날,스릴러,죽거나 혹은 공부해야하는 우리 학생들그들에게 벌어지는 조금은 무서운 이야기,9.84,황준호,황준호,황준호
공유몽,판타지,잠이 들면 또 다른 세계가 펼쳐진다꿈을 빼앗긴 자들이 모이는 곳 큐브고유한 능력과 아이템을 부여받은 큐버존재하지 않았던 일곱 번째 형태의 아이템을 계승한 도시언의 성장 액션 먼치킨 판타지,9.92,주신 , 유령선,주신 
공주는 잠 못 이루고,드라마,당신 없이는 살 수 없어나는 구원 받을 수 있습니까,9.95,하가,하가,하가
공포단편선X,스릴러,작가 김대일의 섬뜩한 연출력이 만든 공포단편선 X 이색적인 공포 이야기들을 단편으로 다양하게 보여준다 끝나는 순간까지 결과를 예측할 수 없는 공포가 다가온다,9.73,김대일,김대일,김대일
관계의 종말,스릴러,타인은 지옥이다 김용키 작가의 신작여자친구와 함께 떠난 비경에 숨겨진 펜션으로의 여름휴가하지만 불쾌한 펜션 주인을 시작으로 주인공의 트라우마를 끄집어내는 끔찍한 만남들이 이어진다지옥으로 치닫는 사건과 사고 이제 모든 것을 끝낼 때가 왔다,9.78,김용키,김용키,김용키
